,tickers,kurtosis
145,DXCM,4.184444351872516
146,FANG,21.557065046215726
147,DLR,5.041002411659306
148,DFS,15.831871616185374
149,DG,17.751865118814862
150,DLTR,17.122701253714748
151,D,14.47731028654098
152,DPZ,25.098761512911466
153,DOV,12.187982088835785
154,DOW,15.10514308026222
155,DHI,6.414773978384192
156,DTE,14.148822249585724
157,DUK,12.080336007886581
158,DD,6.840951956505766
159,EMN,5.6595369678955745
160,ETN,17.832557603601057
161,EBAY,2.715751333633331
162,ECL,17.657388191446387
163,EIX,8.523292808350638
164,EW,9.459998823433752
165,EA,5.646426113922102
166,ELV,11.574169767256226
167,LLY,11.278977884084835
168,EMR,15.132404247088868
169,ENPH,9.027653775838374
170,ETR,14.107601069062408
171,EOG,12.755163211679598
172,EPAM,32.30457181183354
173,EQT,10.19588634860899
174,EFX,4.810452795189253
175,EQIX,4.5486224485443625
176,EQR,9.825134373950076
177,ESS,10.8571986625785
178,EL,8.204683581902424
179,ETSY,2.6420470340200315
180,EG,6.136273098040062
181,EVRG,19.2658151535039
182,ES,11.612206782456058
183,EXC,18.168419489824508
184,EXPE,9.609136203068692
185,EXPD,6.394720139435243
186,EXR,6.8904140405979994
187,XOM,4.042046267868571
188,FFIV,4.864076850243256
189,FDS,10.582113246630668
190,FICO,24.323125082654773
191,FAST,6.616111104015209
192,FRT,37.16809349326467
193,FDX,11.984223578755147
194,FIS,23.622246725862396
195,FITB,8.987539126022758
196,FSLR,5.686663474057976
197,FE,27.42718061254758
198,FI,9.409260465868211
199,FMC,10.151407714479992
200,F,5.778163487454863
201,FTNT,11.462203315681005
202,FTV,13.955090392162795
203,FOXA,3.77501036181059
204,FOX,3.9941671263999816
205,BEN,4.2261882801259905
206,FCX,7.4065933365413485
207,GRMN,5.4797449956272715
208,IT,9.379902046651011
209,GE,5.2086827755753475
210,GEHC,5.898237559406413
211,GEV,1.3874611771344076
212,GEN,72.75440146673809
213,GNRC,5.6608140846749215
214,GD,6.720231515456852
215,GIS,9.77171337984923
216,GM,5.419574702201828
217,GPC,18.695703952252142
218,GILD,8.167574328279091
219,GPN,11.481997679485827
220,GL,147.65982989793838
221,GS,9.902273813150597
222,HAL,16.351616791793962
223,HIG,31.175418097802385
224,HAS,14.2027706103317
225,HCA,17.843172906587338
226,DOC,14.891136534267275
